backend,selected_kernel,work_group_size,cl_compiler_options,matrix_dimensions,elapsed_s
   clBlas, 2,32,-cl-std=CL2.0,2048,0.02034
myGEMM.cu, 2,32,-cl-std=CL2.0,2048,0.04405
myGEMM.cl, 2,32,-cl-std=CL2.0,2048,0.03880
   cuBLAS, 2,32,-cl-std=CL2.0,4096,0.03786
   clBlas, 2,32,-cl-std=CL2.0,4096,0.11662
myGEMM.cu, 2,32,-cl-std=CL2.0,4096,0.25093
myGEMM.cl, 2,32,-cl-std=CL2.0,4096,0.24611
   cuBLAS, 1, 4,-cl-std=CL1.2,1024,0.00089
   clBlas, 1, 4,-cl-std=CL1.2,1024,0.00641
myGEMM.cu, 1, 4,-cl-std=CL1.2,1024,0.01731
myGEMM.cl, 1, 4,-cl-std=CL1.2,1024,0.01690
   cuBLAS, 1, 4,-cl-std=CL1.2,2048,0.00533
   clBlas, 1, 4,-cl-std=CL1.2,2048,0.02064
myGEMM.cu, 1, 4,-cl-std=CL1.2,2048,0.14496
myGEMM.cl, 1, 4,-cl-std=CL1.2,2048,0.11995
   cuBLAS, 1, 4,-cl-std=CL1.2,4096,0.02562
   clBlas, 1, 4,-cl-std=CL1.2,4096,0.11377
myGEMM.cu, 1, 4,-cl-std=CL1.2,4096,1.11199
myGEMM.cl, 1, 4,-cl-std=CL1.2,4096,1.07030
   cuBLAS, 1,16,-cl-std=CL1.2,1024,0.00093
   clBlas, 1,16,-cl-std=CL1.2,1024,0.00825
myGEMM.cu, 1,16,-cl-std=CL1.2,1024,0.00691
myGEMM.cl, 1,16,-cl-std=CL1.2,1024,0.00674
   cuBLAS, 1,16,-cl-std=CL1.2,2048,0.00537
   clBlas, 1,16,-cl-std=CL1.2,2048,0.02045
myGEMM.cu, 1,16,-cl-std=CL1.2,2048,0.05247
myGEMM.cl, 1,16,-cl-std=CL1.2,2048,0.04922
   cuBLAS, 1,16,-cl-std=CL1.2,4096,0.04161
   clBlas, 1,16,-cl-std=CL1.2,4096,0.17121
myGEMM.cu, 1,16,-cl-std=CL1.2,4096,0.39277
myGEMM.cl, 1,16,-cl-std=CL1.2,4096,0.37745
   cuBLAS, 1,32,-cl-std=CL1.2,1024,0.00089
   clBlas, 1,32,-cl-std=CL1.2,1024,0.00701
myGEMM.cu, 1,32,-cl-std=CL1.2,1024,0.00740
myGEMM.cl, 1,32,-cl-std=CL1.2,1024,0.00717
   cuBLAS, 1,32,-cl-std=CL1.2,2048,0.00532
   clBlas, 1,32,-cl-std=CL1.2,2048,0.02038
myGEMM.cu, 1,32,-cl-std=CL1.2,2048,0.05678
myGEMM.cl, 1,32,-cl-std=CL1.2,2048,0.04810
   cuBLAS, 1,32,-cl-std=CL1.2,4096,0.04109
   clBlas, 1,32,-cl-std=CL1.2,4096,0.12850
myGEMM.cu, 1,32,-cl-std=CL1.2,4096,0.33624
myGEMM.cl, 1,32,-cl-std=CL1.2,4096,0.33175
   cuBLAS, 2, 4,-cl-std=CL1.2,1024,0.00090
   clBlas, 2, 4,-cl-std=CL1.2,1024,0.00680
myGEMM.cu, 2, 4,-cl-std=CL1.2,1024,0.02814
myGEMM.cl, 2, 4,-cl-std=CL1.2,1024,0.02828
   cuBLAS, 2, 4,-cl-std=CL1.2,2048,0.00533
   clBlas, 2, 4,-cl-std=CL1.2,2048,0.02053
myGEMM.cu, 2, 4,-cl-std=CL1.2,2048,0.22752
myGEMM.cl, 2, 4,-cl-std=CL1.2,2048,0.18710
   cuBLAS, 2, 4,-cl-std=CL1.2,4096,0.02452
   clBlas, 2, 4,-cl-std=CL1.2,4096,0.11048
myGEMM.cu, 2, 4,-cl-std=CL1.2,4096,1.52243
myGEMM.cl, 2, 4,-cl-std=CL1.2,4096,1.53004
   cuBLAS, 2,16,-cl-std=CL1.2,1024,0.00091
   clBlas, 2,16,-cl-std=CL1.2,1024,0.00710
myGEMM.cu, 2,16,-cl-std=CL1.2,1024,0.00525
myGEMM.cl, 2,16,-cl-std=CL1.2,1024,0.00524
   cuBLAS, 2,16,-cl-std=CL1.2,2048,0.00532
   clBlas, 2,16,-cl-std=CL1.2,2048,0.02046
myGEMM.cu, 2,16,-cl-std=CL1.2,2048,0.04037
myGEMM.cl, 2,16,-cl-std=CL1.2,2048,0.03678
   cuBLAS, 2,16,-cl-std=CL1.2,4096,0.04119
   clBlas, 2,16,-cl-std=CL1.2,4096,0.11831
myGEMM.cu, 2,16,-cl-std=CL1.2,4096,0.25757
myGEMM.cl, 2,16,-cl-std=CL1.2,4096,0.25811
   cuBLAS, 2,32,-cl-std=CL1.2,1024,0.00091
   clBlas, 2,32,-cl-std=CL1.2,1024,0.00780
myGEMM.cu, 2,32,-cl-std=CL1.2,1024,0.00586
myGEMM.cl, 2,32,-cl-std=CL1.2,1024,0.00570
   cuBLAS, 2,32,-cl-std=CL1.2,2048,0.00535
   clBlas, 2,32,-cl-std=CL1.2,2048,0.02060
myGEMM.cu, 2,32,-cl-std=CL1.2,2048,0.04451
myGEMM.cl, 2,32,-cl-std=CL1.2,2048,0.04447
   cuBLAS, 2,32,-cl-std=CL1.2,4096,0.04099
   clBlas, 2,32,-cl-std=CL1.2,4096,0.13398
myGEMM.cu, 2,32,-cl-std=CL1.2,4096,0.24780
myGEMM.cl, 2,32,-cl-std=CL1.2,4096,0.24666

 
   cuBLAS, 1, 4,-cl-std=CL2.0,1024,0.00087
   clBlas, 1, 4,-cl-std=CL2.0,1024,0.00695
myGEMM.cu, 1, 4,-cl-std=CL2.0,1024,0.01728
myGEMM.cl, 1, 4,-cl-std=CL2.0,1024,0.01688
   cuBLAS, 1, 4,-cl-std=CL2.0,2048,0.00532
   clBlas, 1, 4,-cl-std=CL2.0,2048,0.02034
myGEMM.cu, 1, 4,-cl-std=CL2.0,2048,0.14369
myGEMM.cl, 1, 4,-cl-std=CL2.0,2048,0.11934
   cuBLAS, 1, 4,-cl-std=CL2.0,4096,0.03058
   clBlas, 1, 4,-cl-std=CL2.0,4096,0.11746
myGEMM.cu, 1, 4,-cl-std=CL2.0,4096,1.11364
myGEMM.cl, 1, 4,-cl-std=CL2.0,4096,1.07448
   cuBLAS, 1,16,-cl-std=CL2.0,1024,0.00087
   clBlas, 1,16,-cl-std=CL2.0,1024,0.00757
myGEMM.cu, 1,16,-cl-std=CL2.0,1024,0.00684
myGEMM.cl, 1,16,-cl-std=CL2.0,1024,0.00673
   cuBLAS, 1,16,-cl-std=CL2.0,2048,0.00533
   clBlas, 1,16,-cl-std=CL2.0,2048,0.02044
myGEMM.cu, 1,16,-cl-std=CL2.0,2048,0.05245
myGEMM.cl, 1,16,-cl-std=CL2.0,2048,0.04596
   cuBLAS, 1,16,-cl-std=CL2.0,4096,0.04129
   clBlas, 1,16,-cl-std=CL2.0,4096,0.16416
myGEMM.cu, 1,16,-cl-std=CL2.0,4096,0.38774
myGEMM.cl, 1,16,-cl-std=CL2.0,4096,0.38080
   cuBLAS, 1,32,-cl-std=CL2.0,1024,0.00090
   clBlas, 1,32,-cl-std=CL2.0,1024,0.00751
myGEMM.cu, 1,32,-cl-std=CL2.0,1024,0.00746
myGEMM.cl, 1,32,-cl-std=CL2.0,1024,0.00719
   cuBLAS, 1,32,-cl-std=CL2.0,2048,0.00532
   clBlas, 1,32,-cl-std=CL2.0,2048,0.02055
myGEMM.cu, 1,32,-cl-std=CL2.0,2048,0.05677
myGEMM.cl, 1,32,-cl-std=CL2.0,2048,0.04471
   cuBLAS, 1,32,-cl-std=CL2.0,4096,0.04054
   clBlas, 1,32,-cl-std=CL2.0,4096,0.12139
myGEMM.cu, 1,32,-cl-std=CL2.0,4096,0.33555
myGEMM.cl, 1,32,-cl-std=CL2.0,4096,0.33219
   cuBLAS, 2, 4,-cl-std=CL2.0,1024,0.00090
   clBlas, 2, 4,-cl-std=CL2.0,1024,0.00752
myGEMM.cu, 2, 4,-cl-std=CL2.0,1024,0.02816
myGEMM.cl, 2, 4,-cl-std=CL2.0,1024,0.02828
   cuBLAS, 2, 4,-cl-std=CL2.0,2048,0.00535
   clBlas, 2, 4,-cl-std=CL2.0,2048,0.02059
myGEMM.cu, 2, 4,-cl-std=CL2.0,2048,0.22560
myGEMM.cl, 2, 4,-cl-std=CL2.0,2048,0.18868
   cuBLAS, 2, 4,-cl-std=CL2.0,4096,0.02459
   clBlas, 2, 4,-cl-std=CL2.0,4096,0.11351
myGEMM.cu, 2, 4,-cl-std=CL2.0,4096,1.52257
myGEMM.cl, 2, 4,-cl-std=CL2.0,4096,1.53129
   cuBLAS, 2,16,-cl-std=CL2.0,1024,0.00090
   clBlas, 2,16,-cl-std=CL2.0,1024,0.00656
myGEMM.cu, 2,16,-cl-std=CL2.0,1024,0.00528
myGEMM.cl, 2,16,-cl-std=CL2.0,1024,0.00524
   cuBLAS, 2,16,-cl-std=CL2.0,2048,0.00534
   clBlas, 2,16,-cl-std=CL2.0,2048,0.02047
myGEMM.cu, 2,16,-cl-std=CL2.0,2048,0.04038
myGEMM.cl, 2,16,-cl-std=CL2.0,2048,0.03679
   cuBLAS, 2,16,-cl-std=CL2.0,4096,0.03224
   clBlas, 2,16,-cl-std=CL2.0,4096,0.11460
myGEMM.cu, 2,16,-cl-std=CL2.0,4096,0.25445
myGEMM.cl, 2,16,-cl-std=CL2.0,4096,0.26142
   cuBLAS, 2,32,-cl-std=CL2.0,1024,0.00089
   clBlas, 2,32,-cl-std=CL2.0,1024,0.00700
myGEMM.cu, 2,32,-cl-std=CL2.0,1024,0.00580
myGEMM.cl, 2,32,-cl-std=CL2.0,1024,0.00569
   cuBLAS, 2,32,-cl-std=CL2.0,2048,0.00534
   clBlas, 2,32,-cl-std=CL2.0,2048,0.02051
myGEMM.cu, 2,32,-cl-std=CL2.0,2048,0.04462
myGEMM.cl, 2,32,-cl-std=CL2.0,2048,0.03862
   cuBLAS, 2,32,-cl-std=CL2.0,4096,0.03795
   clBlas, 2,32,-cl-std=CL2.0,4096,0.13032
myGEMM.cu, 2,32,-cl-std=CL2.0,4096,0.24455
myGEMM.cl, 2,32,-cl-std=CL2.0,4096,0.24689
   cuBLAS, 1, 4,-cl-std=CL1.2,1024,0.00090
   clBlas, 1, 4,-cl-std=CL1.2,1024,0.00571
myGEMM.cu, 1, 4,-cl-std=CL1.2,1024,0.01728
myGEMM.cl, 1, 4,-cl-std=CL1.2,1024,0.01689
   cuBLAS, 1, 4,-cl-std=CL1.2,2048,0.00535
   clBlas, 1, 4,-cl-std=CL1.2,2048,0.02054
myGEMM.cu, 1, 4,-cl-std=CL1.2,2048,0.14487
myGEMM.cl, 1, 4,-cl-std=CL1.2,2048,0.12058
   cuBLAS, 1, 4,-cl-std=CL1.2,4096,0.02455
   clBlas, 1, 4,-cl-std=CL1.2,4096,0.11034
myGEMM.cu, 1, 4,-cl-std=CL1.2,4096,1.11353
myGEMM.cl, 1, 4,-cl-std=CL1.2,4096,1.07191
   cuBLAS, 1,16,-cl-std=CL1.2,1024,0.00088
   clBlas, 1,16,-cl-std=CL1.2,1024,0.00580
myGEMM.cu, 1,16,-cl-std=CL1.2,1024,0.00682
myGEMM.cl, 1,16,-cl-std=CL1.2,1024,0.00673
   cuBLAS, 1,16,-cl-std=CL1.2,2048,0.00536
   clBlas, 1,16,-cl-std=CL1.2,2048,0.02052
myGEMM.cu, 1,16,-cl-std=CL1.2,2048,0.05244
myGEMM.cl, 1,16,-cl-std=CL1.2,2048,0.04327
   cuBLAS, 1,16,-cl-std=CL1.2,4096,0.04084
   clBlas, 1,16,-cl-std=CL1.2,4096,0.12239
myGEMM.cu, 1,16,-cl-std=CL1.2,4096,0.37906
myGEMM.cl, 1,16,-cl-std=CL1.2,4096,0.38191
   cuBLAS, 1,32,-cl-std=CL1.2,1024,0.00088
   clBlas, 1,32,-cl-std=CL1.2,1024,0.00739
myGEMM.cu, 1,32,-cl-std=CL1.2,1024,0.00741
myGEMM.cl, 1,32,-cl-std=CL1.2,1024,0.00722
   cuBLAS, 1,32,-cl-std=CL1.2,2048,0.00535
   clBlas, 1,32,-cl-std=CL1.2,2048,0.02034
myGEMM.cu, 1,32,-cl-std=CL1.2,2048,0.05678
myGEMM.cl, 1,32,-cl-std=CL1.2,2048,0.04360
   cuBLAS, 1,32,-cl-std=CL1.2,4096,0.04094
   clBlas, 1,32,-cl-std=CL1.2,4096,0.11793
myGEMM.cu, 1,32,-cl-std=CL1.2,4096,0.33600
myGEMM.cl, 1,32,-cl-std=CL1.2,4096,0.33415
   cuBLAS, 2, 4,-cl-std=CL1.2,1024,0.00087
   clBlas, 2, 4,-cl-std=CL1.2,1024,0.00764
myGEMM.cu, 2, 4,-cl-std=CL1.2,1024,0.02816
myGEMM.cl, 2, 4,-cl-std=CL1.2,1024,0.02828
   cuBLAS, 2, 4,-cl-std=CL1.2,2048,0.00537
   clBlas, 2, 4,-cl-std=CL1.2,2048,0.02040
myGEMM.cu, 2, 4,-cl-std=CL1.2,2048,0.22483
myGEMM.cl, 2, 4,-cl-std=CL1.2,2048,0.18863
   cuBLAS, 2, 4,-cl-std=CL1.2,4096,0.02540
   clBlas, 2, 4,-cl-std=CL1.2,4096,0.11106
myGEMM.cu, 2, 4,-cl-std=CL1.2,4096,1.52690
myGEMM.cl, 2, 4,-cl-std=CL1.2,4096,1.53391
   cuBLAS, 2,16,-cl-std=CL1.2,1024,0.00090
   clBlas, 2,16,-cl-std=CL1.2,1024,0.00708
myGEMM.cu, 2,16,-cl-std=CL1.2,1024,0.00527
myGEMM.cl, 2,16,-cl-std=CL1.2,1024,0.00525
   cuBLAS, 2,16,-cl-std=CL1.2,2048,0.00535
   clBlas, 2,16,-cl-std=CL1.2,2048,0.02042
myGEMM.cu, 2,16,-cl-std=CL1.2,2048,0.04037
myGEMM.cl, 2,16,-cl-std=CL1.2,2048,0.04022
   cuBLAS, 2,16,-cl-std=CL1.2,4096,0.03934
   clBlas, 2,16,-cl-std=CL1.2,4096,0.12224
myGEMM.cu, 2,16,-cl-std=CL1.2,4096,0.25249
myGEMM.cl, 2,16,-cl-std=CL1.2,4096,0.25852
   cuBLAS, 2,32,-cl-std=CL1.2,1024,0.00088
   clBlas, 2,32,-cl-std=CL1.2,1024,0.00762
myGEMM.cu, 2,32,-cl-std=CL1.2,1024,0.00581
myGEMM.cl, 2,32,-cl-std=CL1.2,1024,0.00574
   cuBLAS, 2,32,-cl-std=CL1.2,2048,0.00535
   clBlas, 2,32,-cl-std=CL1.2,2048,0.02076
myGEMM.cu, 2,32,-cl-std=CL1.2,2048,0.04432
myGEMM.cl, 2,32,-cl-std=CL1.2,2048,0.03910
   cuBLAS, 2,32,-cl-std=CL1.2,4096,0.04086
   clBlas, 2,32,-cl-std=CL1.2,4096,0.11967
myGEMM.cu, 2,32,-cl-std=CL1.2,4096,0.24798
myGEMM.cl, 2,32,-cl-std=CL1.2,4096,0.24707

   cuBLAS, 1, 4,-cl-std=CL2.0,1024,0.00090
   clBlas, 1, 4,-cl-std=CL2.0,1024,0.00573
myGEMM.cu, 1, 4,-cl-std=CL2.0,1024,0.01728
myGEMM.cl, 1, 4,-cl-std=CL2.0,1024,0.01688
   cuBLAS, 1, 4,-cl-std=CL2.0,2048,0.00534
   clBlas, 1, 4,-cl-std=CL2.0,2048,0.02039
myGEMM.cu, 1, 4,-cl-std=CL2.0,2048,0.13877
myGEMM.cl, 1, 4,-cl-std=CL2.0,2048,0.12397
   cuBLAS, 1, 4,-cl-std=CL2.0,4096,0.02598
   clBlas, 1, 4,-cl-std=CL2.0,4096,0.11169
myGEMM.cu, 1, 4,-cl-std=CL2.0,4096,1.11749
myGEMM.cl, 1, 4,-cl-std=CL2.0,4096,1.07635
   cuBLAS, 1,16,-cl-std=CL2.0,1024,0.00089
   clBlas, 1,16,-cl-std=CL2.0,1024,0.00678
myGEMM.cu, 1,16,-cl-std=CL2.0,1024,0.00686
myGEMM.cl, 1,16,-cl-std=CL2.0,1024,0.00674
   cuBLAS, 1,16,-cl-std=CL2.0,2048,0.00532
   clBlas, 1,16,-cl-std=CL2.0,2048,0.02084
myGEMM.cu, 1,16,-cl-std=CL2.0,2048,0.05244
myGEMM.cl, 1,16,-cl-std=CL2.0,2048,0.05321
   cuBLAS, 1,16,-cl-std=CL2.0,4096,0.03430
   clBlas, 1,16,-cl-std=CL2.0,4096,0.11706
myGEMM.cu, 1,16,-cl-std=CL2.0,4096,0.38206
myGEMM.cl, 1,16,-cl-std=CL2.0,4096,0.37886
   cuBLAS, 1,32,-cl-std=CL2.0,1024,0.00089
   clBlas, 1,32,-cl-std=CL2.0,1024,0.00725
myGEMM.cu, 1,32,-cl-std=CL2.0,1024,0.00744
myGEMM.cl, 1,32,-cl-std=CL2.0,1024,0.00718
   cuBLAS, 1,32,-cl-std=CL2.0,2048,0.00535
   clBlas, 1,32,-cl-std=CL2.0,2048,0.02054
myGEMM.cu, 1,32,-cl-std=CL2.0,2048,0.05676
myGEMM.cl, 1,32,-cl-std=CL2.0,2048,0.04561
   cuBLAS, 1,32,-cl-std=CL2.0,4096,0.03640
   clBlas, 1,32,-cl-std=CL2.0,4096,0.12871
myGEMM.cu, 1,32,-cl-std=CL2.0,4096,0.33390
myGEMM.cl, 1,32,-cl-std=CL2.0,4096,0.33231
   cuBLAS, 2, 4,-cl-std=CL2.0,1024,0.00089
   clBlas, 2, 4,-cl-std=CL2.0,1024,0.00812
myGEMM.cu, 2, 4,-cl-std=CL2.0,1024,0.02815
myGEMM.cl, 2, 4,-cl-std=CL2.0,1024,0.02828
   cuBLAS, 2, 4,-cl-std=CL2.0,2048,0.00536
   clBlas, 2, 4,-cl-std=CL2.0,2048,0.02055
myGEMM.cu, 2, 4,-cl-std=CL2.0,2048,0.22573
myGEMM.cl, 2, 4,-cl-std=CL2.0,2048,0.18866
   cuBLAS, 2, 4,-cl-std=CL2.0,4096,0.02527
   clBlas, 2, 4,-cl-std=CL2.0,4096,0.10917
myGEMM.cu, 2, 4,-cl-std=CL2.0,4096,1.52585
myGEMM.cl, 2, 4,-cl-std=CL2.0,4096,1.53500
   cuBLAS, 2,16,-cl-std=CL2.0,1024,0.00091
   clBlas, 2,16,-cl-std=CL2.0,1024,0.00717
myGEMM.cu, 2,16,-cl-std=CL2.0,1024,0.00526
myGEMM.cl, 2,16,-cl-std=CL2.0,1024,0.00525
   cuBLAS, 2,16,-cl-std=CL2.0,2048,0.00532
   clBlas, 2,16,-cl-std=CL2.0,2048,0.02042
myGEMM.cu, 2,16,-cl-std=CL2.0,2048,0.04037
myGEMM.cl, 2,16,-cl-std=CL2.0,2048,0.03654
   cuBLAS, 2,16,-cl-std=CL2.0,4096,0.03575
   clBlas, 2,16,-cl-std=CL2.0,4096,0.14644
myGEMM.cu, 2,16,-cl-std=CL2.0,4096,0.25375
myGEMM.cl, 2,16,-cl-std=CL2.0,4096,0.26135
   cuBLAS, 2,32,-cl-std=CL2.0,1024,0.00090
   clBlas, 2,32,-cl-std=CL2.0,1024,0.00692
myGEMM.cu, 2,32,-cl-std=CL2.0,1024,0.00583
myGEMM.cl, 2,32,-cl-std=CL2.0,1024,0.00565
   cuBLAS, 2,32,-cl-std=CL2.0,2048,0.00538
   clBlas, 2,32,-cl-std=CL2.0,2048,0.02026
myGEMM.cu, 2,32,-cl-std=CL2.0,2048,0.04438
myGEMM.cl, 2,32,-cl-std=CL2.0,2048,0.03867
   cuBLAS, 2,32,-cl-std=CL2.0,4096,0.04130
   clBlas, 2,32,-cl-std=CL2.0,4096,0.15811
myGEMM.cu, 2,32,-cl-std=CL2.0,4096,0.24602
myGEMM.cl, 2,32,-cl-std=CL2.0,4096,0.24741
   cuBLAS, 1, 4,-cl-std=CL1.2,1024,0.00089
   clBlas, 1, 4,-cl-std=CL1.2,1024,0.00716
myGEMM.cu, 1, 4,-cl-std=CL1.2,1024,0.01730
myGEMM.cl, 1, 4,-cl-std=CL1.2,1024,0.01693
   cuBLAS, 1, 4,-cl-std=CL1.2,2048,0.00537
   clBlas, 1, 4,-cl-std=CL1.2,2048,0.02060
myGEMM.cu, 1, 4,-cl-std=CL1.2,2048,0.14219
myGEMM.cl, 1, 4,-cl-std=CL1.2,2048,0.12094
   cuBLAS, 1, 4,-cl-std=CL1.2,4096,0.02642
   clBlas, 1, 4,-cl-std=CL1.2,4096,0.10983
myGEMM.cu, 1, 4,-cl-std=CL1.2,4096,1.11683
myGEMM.cl, 1, 4,-cl-std=CL1.2,4096,1.07669
   cuBLAS, 1,16,-cl-std=CL1.2,1024,0.00091
   clBlas, 1,16,-cl-std=CL1.2,1024,0.00692
myGEMM.cu, 1,16,-cl-std=CL1.2,1024,0.00683
myGEMM.cl, 1,16,-cl-std=CL1.2,1024,0.00674
   cuBLAS, 1,16,-cl-std=CL1.2,2048,0.00535
   clBlas, 1,16,-cl-std=CL1.2,2048,0.02044
myGEMM.cu, 1,16,-cl-std=CL1.2,2048,0.05244
myGEMM.cl, 1,16,-cl-std=CL1.2,2048,0.04592
   cuBLAS, 1,16,-cl-std=CL1.2,4096,0.03640
   clBlas, 1,16,-cl-std=CL1.2,4096,0.12829
myGEMM.cu, 1,16,-cl-std=CL1.2,4096,0.37633
myGEMM.cl, 1,16,-cl-std=CL1.2,4096,0.38191
   cuBLAS, 1,32,-cl-std=CL1.2,1024,0.00088
   clBlas, 1,32,-cl-std=CL1.2,1024,0.00822
myGEMM.cu, 1,32,-cl-std=CL1.2,1024,0.00747
myGEMM.cl, 1,32,-cl-std=CL1.2,1024,0.00718
   cuBLAS, 1,32,-cl-std=CL1.2,2048,0.00537
   clBlas, 1,32,-cl-std=CL1.2,2048,0.02049
myGEMM.cu, 1,32,-cl-std=CL1.2,2048,0.05686
myGEMM.cl, 1,32,-cl-std=CL1.2,2048,0.04928
   cuBLAS, 1,32,-cl-std=CL1.2,4096,0.04109
   clBlas, 1,32,-cl-std=CL1.2,4096,0.11963
myGEMM.cu, 1,32,-cl-std=CL1.2,4096,0.34207
myGEMM.cl, 1,32,-cl-std=CL1.2,4096,0.33236
   cuBLAS, 2, 4,-cl-std=CL1.2,1024,0.00087
   clBlas, 2, 4,-cl-std=CL1.2,1024,0.00691
myGEMM.cu, 2, 4,-cl-std=CL1.2,1024,0.02817
myGEMM.cl, 2, 4,-cl-std=CL1.2,1024,0.02830
   cuBLAS, 2, 4,-cl-std=CL1.2,2048,0.00534
   clBlas, 2, 4,-cl-std=CL1.2,2048,0.02035
myGEMM.cu, 2, 4,-cl-std=CL1.2,2048,0.21277
myGEMM.cl, 2, 4,-cl-std=CL1.2,2048,0.18817
   cuBLAS, 2, 4,-cl-std=CL1.2,4096,0.02456
   clBlas, 2, 4,-cl-std=CL1.2,4096,0.10927
myGEMM.cu, 2, 4,-cl-std=CL1.2,4096,1.52581
myGEMM.cl, 2, 4,-cl-std=CL1.2,4096,1.53690
   cuBLAS, 2,16,-cl-std=CL1.2,1024,0.00089
   clBlas, 2,16,-cl-std=CL1.2,1024,0.00700
myGEMM.cu, 2,16,-cl-std=CL1.2,1024,0.00527
myGEMM.cl, 2,16,-cl-std=CL1.2,1024,0.00527
   cuBLAS, 2,16,-cl-std=CL1.2,2048,0.00531
   clBlas, 2,16,-cl-std=CL1.2,2048,0.02028
myGEMM.cu, 2,16,-cl-std=CL1.2,2048,0.04038
myGEMM.cl, 2,16,-cl-std=CL1.2,2048,0.03678
   cuBLAS, 2,16,-cl-std=CL1.2,4096,0.04089
